Epoch: [1][400/770], lr: 0.00010	Time 0.223 (0.268)	Data 0.000 (0.047)	Loss 1.2835 (1.5200)	Prec@1 0.000 (37.531)	Prec@5 100.000 (92.145)
Epoch: [1][420/770], lr: 0.00010	Time 0.217 (0.266)	Data 0.000 (0.045)	Loss 0.8762 (1.5213)	Prec@1 50.000 (37.767)	Prec@5 100.000 (92.280)
Epoch: [1][440/770], lr: 0.00010	Time 0.224 (0.264)	Data 0.000 (0.043)	Loss 1.2887 (1.5177)	Prec@1 50.000 (37.755)	Prec@5 100.000 (92.177)
Epoch: [1][460/770], lr: 0.00010	Time 0.223 (0.262)	Data 0.000 (0.041)	Loss 0.9797 (1.5135)	Prec@1 50.000 (38.069)	Prec@5 100.000 (92.191)
Epoch: [1][480/770], lr: 0.00010	Time 0.214 (0.261)	Data 0.000 (0.040)	Loss 0.6025 (1.5147)	Prec@1 100.000 (38.254)	Prec@5 100.000 (92.204)
Epoch: [1][500/770], lr: 0.00010	Time 0.223 (0.259)	Data 0.000 (0.038)	Loss 1.3540 (1.5161)	Prec@1 0.000 (37.625)	Prec@5 100.000 (92.216)
Epoch: [1][520/770], lr: 0.00010	Time 0.224 (0.258)	Data 0.000 (0.036)	Loss 1.0039 (1.5255)	Prec@1 50.000 (37.332)	Prec@5 100.000 (91.555)
Epoch: [1][540/770], lr: 0.00010	Time 0.215 (0.256)	Data 0.000 (0.035)	Loss 1.4266 (1.5189)	Prec@1 0.000 (37.708)	Prec@5 100.000 (91.682)
Epoch: [1][560/770], lr: 0.00010	Time 0.224 (0.255)	Data 0.000 (0.034)	Loss 2.1587 (1.5311)	Prec@1 50.000 (37.701)	Prec@5 50.000 (91.444)
Epoch: [1][580/770], lr: 0.00010	Time 0.216 (0.254)	Data 0.000 (0.033)	Loss 0.7431 (1.5292)	Prec@1 100.000 (37.952)	Prec@5 100.000 (91.394)
Epoch: [1][600/770], lr: 0.00010	Time 0.214 (0.253)	Data 0.000 (0.032)	Loss 1.9480 (1.5419)	Prec@1 0.000 (37.438)	Prec@5 100.000 (91.098)
Epoch: [1][620/770], lr: 0.00010	Time 0.225 (0.252)	Data 0.000 (0.031)	Loss 1.4956 (1.5397)	Prec@1 0.000 (37.520)	Prec@5 100.000 (91.304)
Epoch: [1][640/770], lr: 0.00010	Time 0.224 (0.251)	Data 0.000 (0.030)	Loss 3.1386 (1.5399)	Prec@1 0.000 (37.441)	Prec@5 100.000 (91.342)
Epoch: [1][660/770], lr: 0.00010	Time 0.216 (0.250)	Data 0.000 (0.029)	Loss 0.8570 (1.5436)	Prec@1 50.000 (37.368)	Prec@5 100.000 (91.528)
Epoch: [1][680/770], lr: 0.00010	Time 0.214 (0.249)	Data 0.000 (0.028)	Loss 2.1276 (1.5387)	Prec@1 50.000 (37.518)	Prec@5 50.000 (91.483)
Epoch: [1][700/770], lr: 0.00010	Time 0.224 (0.248)	Data 0.000 (0.027)	Loss 0.6825 (1.5338)	Prec@1 50.000 (37.803)	Prec@5 100.000 (91.441)
Epoch: [1][720/770], lr: 0.00010	Time 0.224 (0.247)	Data 0.000 (0.026)	Loss 1.9595 (1.5444)	Prec@1 50.000 (37.448)	Prec@5 50.000 (91.262)
Epoch: [1][740/770], lr: 0.00010	Time 0.224 (0.247)	Data 0.000 (0.026)	Loss 2.0949 (1.5423)	Prec@1 50.000 (37.652)	Prec@5 100.000 (91.228)
Epoch: [1][760/770], lr: 0.00010	Time 0.224 (0.246)	Data 0.000 (0.025)	Loss 1.0852 (1.5343)	Prec@1 0.000 (37.714)	Prec@5 100.000 (91.393)
Epoch: [2][0/770], lr: 0.00010	Time 19.525 (19.525)	Data 19.273 (19.273)	Loss 2.6183 (2.6183)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Epoch: [2][20/770], lr: 0.00010	Time 0.221 (1.143)	Data 0.000 (0.918)	Loss 1.2126 (1.6910)	Prec@1 0.000 (35.714)	Prec@5 100.000 (88.095)
Epoch: [2][40/770], lr: 0.00010	Time 0.222 (0.693)	Data 0.000 (0.470)	Loss 0.5879 (1.6007)	Prec@1 100.000 (40.244)	Prec@5 100.000 (90.244)
Epoch: [2][60/770], lr: 0.00010	Time 0.231 (0.539)	Data 0.000 (0.316)	Loss 0.9026 (1.5207)	Prec@1 50.000 (40.984)	Prec@5 100.000 (90.984)
Epoch: [2][80/770], lr: 0.00010	Time 0.223 (0.461)	Data 0.000 (0.238)	Loss 1.0051 (1.4966)	Prec@1 50.000 (40.123)	Prec@5 100.000 (91.975)
Epoch: [2][100/770], lr: 0.00010	Time 0.221 (0.413)	Data 0.000 (0.191)	Loss 1.1570 (1.5185)	Prec@1 50.000 (42.079)	Prec@5 100.000 (91.584)
Epoch: [2][120/770], lr: 0.00010	Time 0.222 (0.382)	Data 0.000 (0.159)	Loss 2.2048 (1.5300)	Prec@1 50.000 (40.496)	Prec@5 100.000 (91.736)
Epoch: [2][140/770], lr: 0.00010	Time 0.222 (0.359)	Data 0.000 (0.137)	Loss 0.9602 (1.5788)	Prec@1 50.000 (36.525)	Prec@5 100.000 (90.780)
Epoch: [2][160/770], lr: 0.00010	Time 0.223 (0.342)	Data 0.000 (0.120)	Loss 1.7912 (1.5802)	Prec@1 0.000 (36.957)	Prec@5 100.000 (90.994)
Epoch: [2][180/770], lr: 0.00010	Time 0.222 (0.329)	Data 0.000 (0.107)	Loss 1.4140 (1.5571)	Prec@1 50.000 (36.740)	Prec@5 100.000 (91.713)
Epoch: [2][200/770], lr: 0.00010	Time 0.222 (0.318)	Data 0.000 (0.096)	Loss 1.9658 (1.5475)	Prec@1 50.000 (37.313)	Prec@5 100.000 (92.289)
Epoch: [2][220/770], lr: 0.00010	Time 0.222 (0.309)	Data 0.000 (0.087)	Loss 2.5741 (1.5785)	Prec@1 0.000 (37.557)	Prec@5 50.000 (90.950)
Epoch: [2][240/770], lr: 0.00010	Time 0.220 (0.302)	Data 0.000 (0.080)	Loss 3.2147 (1.5744)	Prec@1 0.000 (37.137)	Prec@5 50.000 (91.079)
Epoch: [2][260/770], lr: 0.00010	Time 0.226 (0.296)	Data 0.000 (0.074)	Loss 1.5693 (1.5997)	Prec@1 50.000 (36.973)	Prec@5 100.000 (90.613)
Epoch: [2][280/770], lr: 0.00010	Time 0.220 (0.290)	Data 0.008 (0.069)	Loss 1.6895 (1.5973)	Prec@1 0.000 (37.544)	Prec@5 100.000 (90.747)
Epoch: [2][300/770], lr: 0.00010	Time 0.224 (0.286)	Data 0.000 (0.064)	Loss 1.7341 (1.5865)	Prec@1 0.000 (37.708)	Prec@5 100.000 (90.864)
Epoch: [2][320/770], lr: 0.00010	Time 0.223 (0.282)	Data 0.000 (0.060)	Loss 2.3376 (1.5761)	Prec@1 0.000 (37.539)	Prec@5 100.000 (91.277)
Epoch: [2][340/770], lr: 0.00010	Time 0.220 (0.278)	Data 0.000 (0.057)	Loss 2.6792 (1.5731)	Prec@1 0.000 (37.683)	Prec@5 50.000 (91.056)
Epoch: [2][360/770], lr: 0.00010	Time 0.214 (0.275)	Data 0.000 (0.054)	Loss 1.3577 (1.5561)	Prec@1 50.000 (38.920)	Prec@5 100.000 (91.274)
Epoch: [2][380/770], lr: 0.00010	Time 0.222 (0.272)	Data 0.000 (0.051)	Loss 1.6551 (1.5464)	Prec@1 50.000 (38.845)	Prec@5 100.000 (91.601)
Epoch: [2][400/770], lr: 0.00010	Time 0.223 (0.270)	Data 0.000 (0.048)	Loss 1.6042 (1.5473)	Prec@1 50.000 (38.903)	Prec@5 100.000 (91.646)
Epoch: [2][420/770], lr: 0.00010	Time 0.222 (0.267)	Data 0.000 (0.046)	Loss 2.1788 (1.5458)	Prec@1 50.000 (39.192)	Prec@5 50.000 (91.686)
Epoch: [2][440/770], lr: 0.00010	Time 0.222 (0.265)	Data 0.000 (0.044)	Loss 0.9259 (1.5363)	Prec@1 50.000 (39.002)	Prec@5 100.000 (91.723)
Epoch: [2][460/770], lr: 0.00010	Time 0.222 (0.263)	Data 0.000 (0.042)	Loss 0.4964 (1.5205)	Prec@1 100.000 (39.262)	Prec@5 100.000 (91.757)
