Epoch: [4][240/308], lr: 0.00010	Time 0.922 (0.970)	Data 0.000 (0.079)	Loss 0.9378 (1.4628)	Prec@1 40.000 (41.162)	Prec@5 100.000 (91.784)
Epoch: [4][260/308], lr: 0.00010	Time 0.922 (0.964)	Data 0.000 (0.073)	Loss 1.4560 (1.4506)	Prec@1 60.000 (41.609)	Prec@5 80.000 (92.107)
Epoch: [4][280/308], lr: 0.00010	Time 0.922 (0.959)	Data 0.000 (0.068)	Loss 0.9709 (1.4401)	Prec@1 0.000 (41.495)	Prec@5 100.000 (92.313)
Epoch: [4][300/308], lr: 0.00010	Time 0.922 (0.955)	Data 0.000 (0.063)	Loss 0.8222 (1.4346)	Prec@1 100.000 (42.060)	Prec@5 100.000 (92.691)
Test: [0/78]	Time 19.235 (19.235)	Loss 1.1373 (1.1373)	Prec@1 40.000 (40.000)	Prec@5 100.000 (100.000)
Test: [20/78]	Time 0.109 (1.019)	Loss 1.7060 (1.4369)	Prec@1 0.000 (39.048)	Prec@5 80.000 (91.429)
Test: [40/78]	Time 0.109 (0.575)	Loss 1.1722 (1.3967)	Prec@1 60.000 (40.488)	Prec@5 100.000 (94.146)
Test: [60/78]	Time 0.109 (0.422)	Loss 1.1668 (1.3954)	Prec@1 80.000 (40.656)	Prec@5 100.000 (94.426)
Testing Results: Prec@1 41.710 Prec@5 93.523 Loss 1.39071
Best Prec@1: 41.710

Epoch: [5][0/308], lr: 0.00010	Time 19.297 (19.297)	Data 19.172 (19.172)	Loss 1.9385 (1.9385)	Prec@1 40.000 (40.000)	Prec@5 60.000 (60.000)
Epoch: [5][20/308], lr: 0.00010	Time 0.438 (1.342)	Data 0.000 (0.913)	Loss 2.1703 (1.5580)	Prec@1 20.000 (38.095)	Prec@5 60.000 (88.571)
Epoch: [5][40/308], lr: 0.00010	Time 0.438 (0.903)	Data 0.000 (0.468)	Loss 0.9030 (1.4880)	Prec@1 60.000 (39.512)	Prec@5 100.000 (89.756)
Epoch: [5][60/308], lr: 0.00010	Time 0.438 (0.752)	Data 0.000 (0.314)	Loss 2.0431 (1.4305)	Prec@1 20.000 (40.656)	Prec@5 80.000 (90.492)
Epoch: [5][80/308], lr: 0.00010	Time 0.438 (0.676)	Data 0.000 (0.237)	Loss 1.2474 (1.4110)	Prec@1 60.000 (42.469)	Prec@5 100.000 (92.346)
Epoch: [5][100/308], lr: 0.00010	Time 0.438 (0.630)	Data 0.000 (0.190)	Loss 1.2858 (1.4169)	Prec@1 40.000 (42.376)	Prec@5 100.000 (92.079)
Epoch: [5][120/308], lr: 0.00010	Time 0.438 (0.599)	Data 0.000 (0.158)	Loss 1.5278 (1.3924)	Prec@1 20.000 (42.479)	Prec@5 100.000 (93.058)
